misc/nupdates,misc/total_timesteps,fps,eprewmean,loss/policy_entropy,loss/policy_loss,loss/value_loss
1660,597960,415,0.54393073,1.4040643334388734,0.01771036982536316,1.7759002447128296
1680,605160,415,1.7565963899999997,1.403978157043457,0.018482361594215034,2.1641984581947327
1700,612360,415,2.35910488,1.4038986802101134,0.03237395137548447,1.1425981223583221
1720,619560,415,1.88144055,1.4039989471435548,0.029080111626535655,2.813248133659363
1740,626760,415,1.2832934400000002,1.4035840392112733,0.035610264353454116,2.0284852266311644
1760,633960,414,1.5506754199999997,1.403546404838562,0.019276019418612123,1.6312120854854584
1780,641160,414,2.0730169800000002,1.4033905744552613,0.010712074860930444,2.8022311687469483
1800,648360,414,1.7372028800000001,1.4033780336380004,0.01704891659319401,1.9769416332244873
1820,655560,414,0.4277219300000001,1.403088915348053,0.004653380438685417,1.5059733390808105
1840,662760,414,1.5378669500000004,1.4028786063194274,0.029737103229854255,2.8092066764831545
1860,669960,414,1.2036971599999997,1.402920389175415,0.011570461839437485,2.526143229007721
1880,677160,414,3.0714873199999992,1.402742624282837,0.019242236809805035,1.3609594583511353
1900,684360,414,2.03675694,1.4025763750076294,0.02276231558062136,1.6520675539970398
1920,691560,414,2.1777304199999996,1.4024706959724427,0.01592307719402015,2.47715402841568
1940,698760,413,2.19490871,1.4021551370620728,0.011345489695668221,2.4792863488197328
1960,705960,413,1.5538988799999998,1.4019427657127381,0.027640742342919113,1.9567906618118287
1980,713160,413,1.4266645,1.4017698645591736,0.0202987571246922,2.5268774390220643
2000,720360,413,1.5288666200000003,1.4018827319145202,0.0360970304813236,1.697189164161682
2020,727560,413,2.22509055,1.4019501686096192,0.012507398147135973,1.2895416557788848
2040,734760,413,1.0213367699999998,1.401783525943756,0.003448183089494705,1.3794023454189301
2060,741960,413,1.24154689,1.4012982964515686,0.010625386983156205,4.296461176872254
2080,749160,413,1.6864952699999998,1.4012408256530762,0.00682487771846354,1.7319472074508666
2100,756360,413,1.3991498399999998,1.4007678389549256,0.04207295766100287,2.227966606616974
2120,763560,413,2.21246182,1.4010916948318481,0.026372232288122178,1.836214816570282
2140,770760,413,1.55289972,1.401188039779663,0.03832576461136341,1.7681551337242127
2160,777960,413,1.23980031,1.4009190559387208,0.03709415420889854,1.4931528449058533
2180,785160,412,1.32572282,1.4008233308792115,0.006805345416069031,2.6399168252944945
2200,792360,412,1.8183566399999997,1.4003461241722106,0.004366330243647099,1.2343370079994203
2220,799560,412,1.9536878000000004,1.4001147985458373,0.023431579396128655,2.751892113685608
2240,806760,412,2.2952142199999996,1.4002392411231994,0.02371988445520401,1.312165081501007
2260,813960,412,2.05739326,1.4002254605293274,0.015704472549259663,2.685212528705597
2280,821160,412,2.1256093,1.3998815059661864,0.019664763659238815,1.3914266705513
2300,828360,412,2.3263531000000004,1.3996529579162598,0.01972385570406914,2.599245083332062
2320,835560,412,1.12189998,1.3997026205062866,0.01427788268774748,1.6739700376987456
2340,842760,412,1.37219818,1.3998199224472045,0.0297559792175889,1.6688417196273804
2360,849960,412,2.3459256500000003,1.3995784997940064,0.023879158264026045,2.4644970297813416
2380,857160,412,1.68431601,1.3993892192840576,0.013903922587633132,3.5057138442993163
2400,864360,412,2.01304553,1.3991689324378966,0.024861250724643468,0.8948587656021119
2420,871560,412,1.52453814,1.3991480469703674,0.02598005859181285,1.9097983837127686
2440,878760,411,2.37972755,1.3989374399185182,0.0204192191362381,2.008699631690979
2460,885960,411,1.6537055199999995,1.3987040042877197,0.01278715394437313,3.467493414878845
2480,893160,411,1.44498413,1.3987239122390747,0.01752808541059494,1.3233922958374023
2500,900360,411,1.05107675,1.3987061858177186,0.031902019912377,2.480894136428833
2520,907560,411,1.64648391,1.3985345244407654,0.021457547694444655,2.1187388420104982
2540,914760,411,1.9513516199999998,1.3982686519622802,0.02920125387609005,2.87403724193573
2560,921960,411,1.4729570399999998,1.3978866577148437,0.01843261756002903,1.140235024690628
2580,929160,411,1.9851451900000001,1.3978248119354248,0.03911148943006992,2.2044302463531493
2600,936360,411,1.96985848,1.397769033908844,0.018034165352582933,2.6490309476852416
2620,943560,411,2.4350273500000004,1.3973795890808105,0.010636250271636527,1.4448887288570404
2640,950760,411,2.1663972100000004,1.3974859118461609,0.029529023356735705,1.9007363796234131
2660,957960,411,2.3227933,1.3972239375114441,0.0033644953276962043,2.5890008091926573
2680,965160,411,2.11164759,1.3969620943069458,0.018373031914234162,2.283749747276306
2700,972360,411,2.4443252800000006,1.3970907568931579,0.034471501549705866,2.1197939991950987
2720,979560,411,1.5342826200000002,1.3969009637832641,0.03485874799080193,1.8792454838752746
2740,986760,411,1.84273588,1.3968233227729798,0.02773224665725138,2.306905210018158
2760,993960,410,1.9939631599999998,1.3966607928276062,0.017790830048033966,1.3834742724895477
2780,1001160,410,2.00942331,1.3965322017669677,0.010023580491542816,2.3364806890487673
2800,1008360,410,3.0571986,1.3969329237937926,0.034513752162456515,3.5310808062553405
2820,1015560,410,3.50496071,1.3968024373054504,0.020428893435746432,3.4806034445762633
2840,1022760,410,2.4121411499999996,1.3966338753700256,0.013753319624811411,2.1718490719795227
2860,1029960,410,2.7248037099999993,1.3966922044754029,0.02768445126712322,2.010148984193802
2880,1037160,410,2.55887472,1.3966420650482179,0.016448555607348682,3.383146619796753
2900,1044360,410,3.259387479999999,1.396865427494049,0.003325805626809597,2.6091871738433836
2920,1051560,410,2.3043651,1.3966884851455688,0.025586959347128867,1.8444663107395172
2940,1058760,410,2.83499543,1.3967508554458619,0.028796491026878358,2.421634888648987
2960,1065960,410,3.20535996,1.3964066863059998,0.009218780882656574,2.6870731711387634
2980,1073160,410,2.84679793,1.3961104035377503,0.03184472071006894,1.1805817544460298
3000,1080360,410,2.8789377599999995,1.395855474472046,0.03141972948797047,2.2057154536247254
3020,1087560,409,2.22193517,1.395949375629425,0.010014737769961358,1.6172082126140594
3040,1094760,409,2.8618780299999997,1.39620281457901,0.008976852521300316,4.292253541946411
3060,1101960,409,2.84027085,1.3962374687194825,-0.0034875687211751937,1.733135163784027
3080,1109160,409,2.11720502,1.396159017086029,0.008908049529418349,2.274388778209686
3100,1116360,409,3.8988143500000008,1.396036958694458,0.02176107242703438,3.215237593650818
3120,1123560,409,2.7151249000000006,1.395774531364441,0.028297217190265657,1.843028485774994
3140,1130760,409,3.33522082,1.3954363822937013,0.015773565485142173,3.5919264554977417
3160,1137960,409,2.9710983900000008,1.39514719247818,0.028017065115273,2.5247205972671507
3180,1145160,409,2.9536090200000005,1.3951760292053224,0.01383077073842287,1.4469554543495178
3200,1152360,409,2.9699540300000002,1.3952647566795349,0.023354905471205712,1.5381160497665405
3220,1159560,409,3.30425177,1.3950440883636475,0.015067833289504052,2.5070029973983763
3240,1166760,409,2.1383128,1.3949390411376954,0.00671268180012703,1.6263649225234986
3260,1173960,409,2.59341939,1.39495450258255,0.007999002188444137,1.6131642580032348
3280,1181160,409,2.0112804499999997,1.3946648716926575,0.017097678780555726,1.600905179977417
3300,1188360,408,2.8535264899999997,1.394406247138977,0.02159150019288063,2.508093500137329
3320,1195560,408,3.52450462,1.3941934704780579,0.019332260359078646,5.277966892719268
3340,1202760,408,3.97812132,1.3943384647369386,0.007392184063792229,3.9755246162414553
3360,1209960,408,3.2544968499999998,1.3944837689399718,0.018109247041866183,4.4044631838798525
3380,1217160,408,3.7278892200000007,1.3941558361053468,0.011671649327035993,3.0935869455337524
3400,1224360,408,3.1559746200000003,1.39406019449234,0.03308924939483404,2.949465811252594
3420,1231560,408,3.7457608600000003,1.3939144730567932,0.02868106458336115,1.857643711566925
3440,1238760,408,2.6416229500000004,1.3935426115989684,0.024381233053281902,1.939066767692566
3460,1245960,408,2.74421168,1.3930813550949097,0.005643695406615734,1.3954468011856078
3480,1253160,408,3.7148656599999996,1.3928763270378113,0.020860622636973858,2.9922897815704346
3500,1260360,408,3.4510452,1.3928800463676452,0.006489628925919533,2.7980387091636656
3520,1267560,408,4.136923069999999,1.3924839973449707,0.013933571986854076,1.8717302203178405
3540,1274760,408,4.46403013,1.3923333883285522,0.025371883483603596,2.0461315393447874
3560,1281960,408,3.9952550199999997,1.392256784439087,0.0021806061267852783,1.4946531772613525
3580,1289160,408,4.22552681,1.3922464370727539,0.02154591055586934,2.2665278196334837
3600,1296360,408,3.4900405099999996,1.391854739189148,0.030526815354824065,1.2270511209964752
3620,1303560,408,3.9607827700000007,1.3917437195777893,0.013257697410881519,2.048025852441788
3640,1310760,408,3.35211741,1.3916104197502137,0.01971609443426132,1.4004751086235045
3660,1317960,407,4.267523779999999,1.3915329575538635,0.010072360816411673,2.471735215187073
3680,1325160,407,2.8558932999999995,1.391442847251892,0.01728057153522968,2.036483162641525
3700,1332360,407,3.7263129,1.3910939574241639,0.021435702592134474,1.997505748271942
3720,1339560,407,3.0547744800000003,1.3908334970474243,0.029959796648472547,1.0352274775505066
3740,1346760,407,3.3398154300000003,1.3905405879020691,0.030575988721102475,3.0554468035697937
3760,1353960,407,4.68485899,1.3903495907783507,0.015987443178892134,3.5783986687660216
3780,1361160,407,3.70472152,1.3902982473373413,0.016406501457095147,4.03828741312027
3800,1368360,407,3.2064415600000014,1.3901536107063293,0.02394557110965252,2.53802205324173
3820,1375560,407,3.99012782,1.3904186725616454,0.022700639441609383,3.7396563410758974
3840,1382760,407,4.2541838400000005,1.3901803374290467,0.012073630094528198,2.7916348934173585
3860,1389960,407,4.3262268,1.39006826877594,0.009931179881095886,2.25027482509613
3880,1397160,407,3.5952153299999994,1.3898733496665954,0.01846951777115464,6.130811762809754
3900,1404360,407,2.7930632599999994,1.3896225452423097,0.010395733639597893,2.0441967248916626
3920,1411560,407,4.46441618,1.3895302414894104,0.007737380266189575,3.2950472593307496
3940,1418760,407,4.02092945,1.3890791535377502,0.024903944041579962,4.167985272407532
3960,1425960,407,2.61058198,1.3888534665107728,0.010007719695568084,1.8987836480140685
3980,1433160,407,3.3169761000000006,1.3887251377105714,0.010416845884174108,2.7299429893493654
4000,1440360,407,4.347560179999999,1.3884678959846497,0.012372157722711562,4.699019455909729
4020,1447560,407,4.54658455,1.3882280945777894,0.016725570103153585,3.020941162109375
4040,1454760,407,3.3656297400000006,1.387703549861908,0.001051661279052496,2.0299480080604555
4060,1461960,407,3.53633086,1.3873368740081786,0.013958285376429558,4.083962917327881
4080,1469160,406,4.61781572,1.3868809580802917,0.013469709642231464,3.1623875975608824
4100,1476360,406,3.164874610000001,1.3866270184516907,0.024891721829771996,1.8769581496715546
4120,1483560,406,5.197817349999999,1.3862120985984803,0.0018225796055048704,4.120584726333618
4140,1490760,406,3.2270979,1.3860470175743103,0.0166895367205143,2.1258906006813048
4160,1497960,406,3.8372373900000003,1.3856016397476196,0.005421235071844421,1.4057220220565796
4180,1505160,406,4.26599742,1.3856488347053528,0.010839723236858844,2.544130802154541
4200,1512360,406,3.4981261599999995,1.3854961395263672,0.02154567837715149,2.167110526561737
4220,1519560,406,4.5033065599999995,1.3854819774627685,0.030576059874147177,1.6728389739990235
4240,1526760,406,3.50792115,1.3854480385780334,0.007306963205337524,1.5532200813293457
