2023-12-04 %M:18, INFO: (config) encodertype:vae,beta: 0.000250, seq_length: 4, 
2023-12-04 %M:18, INFO: Learning rate:0.001000
2023-12-04 %M:23, INFO: (Epoch 182) recon_loss: 26.2880, k_loss: 1467.4861
2023-12-04 %M:26, INFO: (Epoch 183) recon_loss: 26.1826, k_loss: 1466.2035
2023-12-04 %M:23, INFO: (Epoch 184) recon_loss: 25.9431, k_loss: 1463.1080
2023-12-04 %M:26, INFO: (Epoch 185) recon_loss: 26.0821, k_loss: 1460.3571
2023-12-04 %M:22, INFO: (Epoch 186) recon_loss: 25.6773, k_loss: 1459.2997
2023-12-04 %M:25, INFO: (Epoch 187) recon_loss: 25.9634, k_loss: 1458.4469
2023-12-04 %M:22, INFO: (Epoch 188) recon_loss: 25.8509, k_loss: 1453.9886
2023-12-04 %M:25, INFO: (Epoch 189) recon_loss: 25.9686, k_loss: 1445.8431
2023-12-04 %M:28, INFO: (Epoch 190) recon_loss: 25.7589, k_loss: 1445.0064
2023-12-04 %M:37, INFO: (Epoch 191) recon_loss: 25.4025, k_loss: 1443.4633
2023-12-04 %M:47, INFO: (Epoch 192) recon_loss: 25.5515, k_loss: 1439.2021
2023-12-04 %M:57, INFO: (Epoch 193) recon_loss: 25.5691, k_loss: 1436.2581
2023-12-04 %M:07, INFO: (Epoch 194) recon_loss: 25.6906, k_loss: 1432.6677
2023-12-04 %M:17, INFO: (Epoch 195) recon_loss: 25.4821, k_loss: 1431.6435
2023-12-04 %M:27, INFO: (Epoch 196) recon_loss: 25.2830, k_loss: 1427.5298
2023-12-04 %M:36, INFO: (Epoch 197) recon_loss: 25.3643, k_loss: 1424.4191
2023-12-04 %M:46, INFO: (Epoch 198) recon_loss: 25.5088, k_loss: 1425.3623
2023-12-04 %M:56, INFO: (Epoch 199) recon_loss: 25.2873, k_loss: 1417.2569
2023-12-04 %M:57, INFO: (Eval Epoch 200) recon_loss: 60.8039, k_loss: 1400.0492
2023-12-04 %M:39, INFO: (Epoch 200) recon_loss: 25.5256, k_loss: 1416.2020
2023-12-04 %M:48, INFO: (Epoch 201) recon_loss: 24.9518, k_loss: 1411.0222
2023-12-04 %M:58, INFO: (Epoch 202) recon_loss: 25.2867, k_loss: 1410.4081
2023-12-04 %M:08, INFO: (Epoch 203) recon_loss: 25.2343, k_loss: 1409.5222
2023-12-04 %M:18, INFO: (Epoch 204) recon_loss: 25.0848, k_loss: 1407.8330
2023-12-04 %M:28, INFO: (Epoch 205) recon_loss: 25.0023, k_loss: 1402.3692
2023-12-04 %M:38, INFO: (Epoch 206) recon_loss: 24.9024, k_loss: 1400.9763
2023-12-04 %M:48, INFO: (Epoch 207) recon_loss: 25.1864, k_loss: 1393.9386
2023-12-04 %M:57, INFO: (Epoch 208) recon_loss: 24.9622, k_loss: 1390.7554
2023-12-04 %M:07, INFO: (Epoch 209) recon_loss: 24.9169, k_loss: 1389.9317
2023-12-04 %M:17, INFO: (Epoch 210) recon_loss: 24.8757, k_loss: 1384.7427
2023-12-04 %M:27, INFO: (Epoch 211) recon_loss: 25.0214, k_loss: 1385.5000
2023-12-04 %M:36, INFO: (Epoch 212) recon_loss: 24.7479, k_loss: 1384.3117
2023-12-04 %M:46, INFO: (Epoch 213) recon_loss: 24.7131, k_loss: 1377.4286
2023-12-04 %M:56, INFO: (Epoch 214) recon_loss: 24.7364, k_loss: 1374.9482
2023-12-04 %M:05, INFO: (Epoch 215) recon_loss: 24.5679, k_loss: 1374.6077
2023-12-04 %M:59, INFO: (Epoch 216) recon_loss: 24.6552, k_loss: 1370.3300
2023-12-04 %M:53, INFO: (Epoch 217) recon_loss: 24.4669, k_loss: 1365.5003
2023-12-04 %M:56, INFO: (Epoch 218) recon_loss: 24.5589, k_loss: 1361.3732
2023-12-04 %M:52, INFO: (Epoch 219) recon_loss: 24.4690, k_loss: 1363.2273
2023-12-04 %M:54, INFO: (Eval Epoch 220) recon_loss: 60.6727, k_loss: 1331.1661
2023-12-04 %M:55, INFO: (Epoch 220) recon_loss: 24.5749, k_loss: 1359.7177
2023-12-04 %M:58, INFO: (Epoch 221) recon_loss: 24.4052, k_loss: 1357.9494
2023-12-04 %M:55, INFO: (Epoch 222) recon_loss: 24.3940, k_loss: 1354.0859
2023-12-04 %M:58, INFO: (Epoch 223) recon_loss: 24.4665, k_loss: 1353.5710
2023-12-04 %M:54, INFO: (Epoch 224) recon_loss: 24.2842, k_loss: 1354.0423
2023-12-04 %M:57, INFO: (Epoch 225) recon_loss: 24.2051, k_loss: 1350.4115
2023-12-04 %M:54, INFO: (Epoch 226) recon_loss: 24.2167, k_loss: 1344.5232
2023-12-04 %M:57, INFO: (Epoch 227) recon_loss: 24.3068, k_loss: 1342.6280
2023-12-04 %M:53, INFO: (Epoch 228) recon_loss: 24.1725, k_loss: 1336.1293
2023-12-04 %M:56, INFO: (Epoch 229) recon_loss: 24.2662, k_loss: 1335.1285
2023-12-04 %M:53, INFO: (Epoch 230) recon_loss: 24.3910, k_loss: 1338.1600
2023-12-04 %M:56, INFO: (Epoch 231) recon_loss: 24.1017, k_loss: 1334.8523
2023-12-04 %M:53, INFO: (Epoch 232) recon_loss: 24.2167, k_loss: 1330.5482
2023-12-04 %M:55, INFO: (Epoch 233) recon_loss: 23.9583, k_loss: 1328.8739
2023-12-04 %M:52, INFO: (Epoch 234) recon_loss: 24.1713, k_loss: 1325.0666
2023-12-04 %M:55, INFO: (Epoch 235) recon_loss: 24.1450, k_loss: 1318.0771
2023-12-04 %M:58, INFO: (Epoch 236) recon_loss: 24.0422, k_loss: 1319.5922
2023-12-04 %M:55, INFO: (Epoch 237) recon_loss: 23.8214, k_loss: 1317.5759
2023-12-04 %M:58, INFO: (Epoch 238) recon_loss: 23.8108, k_loss: 1311.1029
2023-12-04 %M:54, INFO: (Epoch 239) recon_loss: 23.8609, k_loss: 1309.1175
2023-12-04 %M:55, INFO: (Eval Epoch 240) recon_loss: 61.0621, k_loss: 1278.9706
2023-12-04 %M:57, INFO: (Epoch 240) recon_loss: 23.7732, k_loss: 1310.0960
2023-12-04 %M:54, INFO: (Epoch 241) recon_loss: 23.7297, k_loss: 1309.2992
2023-12-04 %M:57, INFO: (Epoch 242) recon_loss: 23.6632, k_loss: 1306.0040
2023-12-04 %M:53, INFO: (Epoch 243) recon_loss: 23.7092, k_loss: 1304.4684
2023-12-04 %M:56, INFO: (Epoch 244) recon_loss: 23.7540, k_loss: 1303.0102
2023-12-04 %M:53, INFO: (Epoch 245) recon_loss: 23.5257, k_loss: 1299.8882
2023-12-04 %M:56, INFO: (Epoch 246) recon_loss: 23.6713, k_loss: 1296.7580
2023-12-04 %M:53, INFO: (Epoch 247) recon_loss: 23.5736, k_loss: 1295.2265
2023-12-04 %M:55, INFO: (Epoch 248) recon_loss: 23.5638, k_loss: 1293.8504
2023-12-04 %M:58, INFO: (Epoch 249) recon_loss: 23.3740, k_loss: 1291.1456
2023-12-04 %M:55, INFO: (Epoch 250) recon_loss: 23.5828, k_loss: 1290.2243
2023-12-04 %M:58, INFO: (Epoch 251) recon_loss: 23.3903, k_loss: 1287.4394
2023-12-04 %M:55, INFO: (Epoch 252) recon_loss: 23.3753, k_loss: 1286.4545
2023-12-04 %M:57, INFO: (Epoch 253) recon_loss: 23.3012, k_loss: 1286.9656
2023-12-04 %M:54, INFO: (Epoch 254) recon_loss: 23.3977, k_loss: 1279.6852
2023-12-04 %M:57, INFO: (Epoch 255) recon_loss: 23.2693, k_loss: 1276.5253
2023-12-04 %M:54, INFO: (Epoch 256) recon_loss: 23.5603, k_loss: 1272.7310
2023-12-04 %M:57, INFO: (Epoch 257) recon_loss: 23.4030, k_loss: 1273.4087
2023-12-04 %M:53, INFO: (Epoch 258) recon_loss: 23.0152, k_loss: 1272.0240
